LGA_NAME, STATE_NAME
Albury, New South Wales
Armidale, New South Wales
Ballina, New South Wales
Balranald, New South Wales
Bathurst, New South Wales
Bayside, New South Wales
Bega Valley, New South Wales
Bellingen, New South Wales
Berrigan, New South Wales
Blacktown, New South Wales
Bland, New South Wales
Blayney, New South Wales
Blue Mountains, New South Wales
Bogan, New South Wales
Bourke, New South Wales
Brewarrina, New South Wales
Broken Hill, New South Wales
Burwood, New South Wales
Byron, New South Wales
Cabonne, New South Wales
Camden, New South Wales
Campbelltown, New South Wales
Canada Bay, New South Wales
Canterbury-Bankstown, New South Wales
Carrathool, New South Wales
Central Coast, New South Wales
Central Darling, New South Wales
Cessnock, New South Wales
Clarence Valley, New South Wales
Cobar, New South Wales
Coffs Harbour, New South Wales
Coolamon, New South Wales
Coonamble, New South Wales
Cootamundra-Gundagai, New South Wales
Cowra, New South Wales
Cumberland, New South Wales
Dubbo, New South Wales
Dungog, New South Wales
Edward River, New South Wales
Eurobodalla, New South Wales
Fairfield, New South Wales
Federation, New South Wales
Forbes, New South Wales
Georges River, New South Wales
Gilgandra, New South Wales
Glen Innes Severn, New South Wales
Goulburn Mulwaree, New South Wales
Greater Hume, New South Wales
Griffith, New South Wales
Gunnedah, New South Wales
Gwydir, New South Wales
Hawkesbury, New South Wales
Hay, New South Wales
Hilltops, New South Wales
Hornsby, New South Wales
Hunters Hill, New South Wales
Inner West, New South Wales
Inverell, New South Wales
Junee, New South Wales
Kempsey, New South Wales
Kiama, New South Wales
Ku-ring-gai, New South Wales
Kyogle, New South Wales
Lachlan, New South Wales
Lake Macquarie, New South Wales
Lane Cove, New South Wales
Leeton, New South Wales
Lismore, New South Wales
Lithgow, New South Wales
Liverpool, New South Wales
Liverpool Plains, New South Wales
Lockhart, New South Wales
Maitland, New South Wales
Mid-Coast, New South Wales
Mid-Western, New South Wales
Moree Plains, New South Wales
Mosman, New South Wales
Murray River, New South Wales
Murrumbidgee, New South Wales
Muswellbrook, New South Wales
Nambucca Valley, New South Wales
Narrabri, New South Wales
Narrandera, New South Wales
Narromine, New South Wales
Newcastle, New South Wales
North Sydney, New South Wales
Northern Beaches, New South Wales
Oberon, New South Wales
Orange, New South Wales
Parkes, New South Wales
Parramatta, New South Wales
Penrith, New South Wales
Port Macquarie-Hastings, New South Wales
Port Stephens, New South Wales
Queanbeyan-Palerang, New South Wales
Randwick, New South Wales
Richmond Valley, New South Wales
Ryde, New South Wales
Shellharbour, New South Wales
Shoalhaven, New South Wales
Singleton, New South Wales
Snowy Monaro, New South Wales
Snowy Valleys, New South Wales
Strathfield, New South Wales
Sutherland, New South Wales
Sydney, New South Wales
Tamworth, New South Wales
Temora, New South Wales
Tenterfield, New South Wales
The Hills, New South Wales
Tweed, New South Wales
Upper Hunter, New South Wales
Upper Lachlan, New South Wales
Uralla, New South Wales
Wagga Wagga, New South Wales
Walcha, New South Wales
Walgett, New South Wales
Warren, New South Wales
Warrumbungle, New South Wales
Waverley, New South Wales
Weddin, New South Wales
Wentworth, New South Wales
Willoughby, New South Wales
Wingecarribee, New South Wales
Wollondilly, New South Wales
Wollongong, New South Wales
Woollahra, New South Wales
Yass Valley, New South Wales
Alice Springs, Northern Territory
Barkly, Northern Territory
Belyuen, Northern Territory
Central Desert, Northern Territory
Coomalie, Northern Territory
Darwin, Northern Territory
Darwin Waterfront Precinct, Northern Territory
East Arnhem, Northern Territory
Groote Archipelago, Northern Territory
Katherine, Northern Territory
Litchfield, Northern Territory
MacDonnell, Northern Territory
Palmerston, Northern Territory
Roper Gulf, Northern Territory
Tiwi Islands, Northern Territory
Victoria Daly, Northern Territory
Wagait, Northern Territory
West Arnhem, Northern Territory
West Daly, Northern Territory
Christmas Island, Other Territories
Aurukun, Queensland
Balonne, Queensland
Banana, Queensland
Barcaldine, Queensland
Barcoo, Queensland
Blackall Tambo, Queensland
Boulia, Queensland
Brisbane, Queensland
Bulloo, Queensland
Bundaberg, Queensland
Burdekin, Queensland
Burke, Queensland
Cairns, Queensland
Carpentaria, Queensland
Cassowary Coast, Queensland
Central Highlands, Queensland
Charters Towers, Queensland
Cherbourg, Queensland
Cloncurry, Queensland
Cook, Queensland
Croydon, Queensland
Diamantina, Queensland
Doomadgee, Queensland
Douglas, Queensland
Etheridge, Queensland
Flinders, Queensland
Fraser Coast, Queensland
Gladstone, Queensland
Gold Coast, Queensland
Goondiwindi, Queensland
Gympie, Queensland
Hinchinbrook, Queensland
Hope Vale, Queensland
Ipswich, Queensland
Isaac, Queensland
Kowanyama, Queensland
Livingstone, Queensland
Lockhart River, Queensland
Lockyer Valley, Queensland
Logan, Queensland
Longreach, Queensland
Mackay, Queensland
Mapoon, Queensland
Maranoa, Queensland
Mareeba, Queensland
McKinlay, Queensland
Moreton Bay, Queensland
Mornington, Queensland
Mount Isa, Queensland
Murweh, Queensland
Napranum, Queensland
Noosa, Queensland
North Burnett, Queensland
Northern Peninsula Area, Queensland
Palm Island, Queensland
Paroo, Queensland
Pormpuraaw, Queensland
Quilpie, Queensland
Redland, Queensland
Richmond, Queensland
Rockhampton, Queensland
Scenic Rim, Queensland
Somerset, Queensland
South Burnett, Queensland
Southern Downs, Queensland
Sunshine Coast, Queensland
Tablelands, Queensland
Toowoomba, Queensland
Torres, Queensland
Torres Strait Island, Queensland
Townsville, Queensland
Weipa, Queensland
Western Downs, Queensland
Whitsunday, Queensland
Winton, Queensland
Woorabinda, Queensland
Wujal Wujal, Queensland
Yarrabah, Queensland
Adelaide, South Australia
Adelaide Hills, South Australia
Adelaide Plains, South Australia
Alexandrina, South Australia
Anangu Pitjantjatjara Yankunytjatjara, South Australia
Barossa, South Australia
Barunga West, South Australia
Berri Barmera, South Australia
Burnside, South Australia
Campbelltown, South Australia
Ceduna, South Australia
Charles Sturt, South Australia
Clare and Gilbert Valleys, South Australia
Cleve, South Australia
Coober Pedy, South Australia
Coorong, South Australia
Copper Coast, South Australia
Elliston, South Australia
Flinders Ranges, South Australia
Franklin Harbour, South Australia
Gawler, South Australia
Goyder, South Australia
Grant, South Australia
Holdfast Bay, South Australia
Kangaroo Island, South Australia
Karoonda East Murray, South Australia
Kimba, South Australia
Kingston, South Australia
Light, South Australia
